배정번호,이상치 개수
147008,11
146767,7
104388,9
134495,24
140314,1
116324,4
125379,27
128008,12
121210,7
122221,7
140548,37
141893,4
117694,1
136014,3
108503,0
114453,16
107402,2
120867,14
114838,23
106027,3
119448,3
127525,16
137996,6
128388,16
118674,14
105072,3
130425,2
136603,0
141554,28
131938,7
123527,7
131164,6
103142,5
138774,31
126407,18
122371,9
139116,3
140920,56
143758,7
143068,2
147546,7
125919,22
102930,13
126569,8
132161,16
148069,0
103719,1
118005,1
131328,5
130332,1
137850,5
124532,4
120395,2
144358,5
116862,4
134379,2
143256,2
135615,0
116198,6
144060,4
124809,2
123708,14
147292,5
133605,3
130220,3
130868,5
113479,10
126806,21
124585,0
133924,7
133691,4
106293,0
132857,3
147982,5
139507,1
131033,3
138123,4
124128,6
147996,4
130178,6
119662,7
126069,11
125637,2
141145,25
113977,7
116694,2
132694,1
144607,2
128800,31
118664,0
132414,2
135125,11
143370,2
138938,2
147004,5
126519,6
131711,9
129889,8
146705,10
102585,4
146721,8
139330,2
119202,3
135704,0
131424,8
135029,1
104126,0
124852,1
124960,2
146731,0
142324,0
125355,3
118961,0
145251,2
119208,3
143950,1
127519,2
120492,4
143893,0
102410,1
135556,2
144308,0
144771,0
139417,0
128795,25
123689,0
135027,3
103675,0
116413,15
138084,1
114449,2
127639,2
129121,1
105815,1
131758,2
122460,0
